department, "Bo'lim, muassasa"
screaming,qichqiriq
whimpering,"shivirlash, hiqillab yig'lamoq"
racist,"irqchi, irqchilik tarafdori"
gasps,"bo'g'ilish, qiynalib nafas olish"
cheering,xursandchilik
overalls,kombinezonlar
chains,zanjirlar
earrings,sirg'a
pity,afsuslanmoq
judges,sudyalar
fool,ahmoq ayol
clothing,kiyim
universe,"koinot,olam,borliq"
circus,sirk
for instance,misol uchun
straight,To'g'riga
stick,tayoq
chuckles,bo'g'iq ovoz bilan kulish
miniature,miniatura
engage,"shug'ullanish,	ijaraga olmoq, yollamoq,"
swat,"tarsaki, shapaloq"
octagon,sakkizburchak
tire,shina
fulfill,bajarmoq
contract,shartnoma
thoughtful,"o'ychan,fikrli"
dressed,kiyingan
cracked,"yorilib ketgan,	darz ketgan"
ill,kasal
underneath,"tagida,ortida"
nearest,eng yaqin
apothecary,dorixona
drugstore,dorixona
corner,burchak
pipe,quvur
homies,do'stlar
sighs,xo'rsinadi
trashy,axlat
duration,davomiyligi
