insurance, sug`urta , f
engine,dvigatel,
why did you start the engine,nega dvigatelni ishga tushirdingiz,
glove,qo'lqop,
I misunderstood,noto'g'ri tushundim,
receipt,kvitansiya,
spine,umurtqa pog'onasi,
decision,qaror,I made a really big decision
I made a really big decision,Men juda katta qaror qabul qildim,
without consulting you,siz bilan maslahatlashmasdan,
I went by a puppy rescue,Men kuchukchani qutqarish uchun bordim,
rescue,qutqarish,
tough situations,qiyin vaziyatlar,
darling,azizim,hello my little darling
tasty,mazali,a little tasty
treat,davolash,
handful,hovuch,
grumpy,"g`amgin,janfalkash",
quarrelsome,janjalkash,
raise your hand at me,raise your hand at me,
condescending,kamsituvchi,
entertainment,o'yin-kulgi,I ain`t your entertainment
I ain`t your entertainment,Men sizning o'yin-kulgingiz emasman,
how come you will not do that with me,Qanday qilib men bilan buni qilmaysiz,
how come,qanaqasiga,
