confusable , adashtiradigan
jewellery , zargarlik butimlari
elderly person , qari inson
lonely place , yolg`iz joy
desperately lonely , juda yolg'iz
travelying aline , yolg`iz aylanmoq
solitary figure , yolg'iz figura
sole survivor , yagona omon qolgan
occasion , fursat
loaded the lorry , yuk mashinasiga yukladi | charge my phone
injured people , jarohatlangan odamlar
damaged sofa , shikastlangan divan | injured people
grow crops , ekinlarni etishtirish
raise cattle , qoramol boqish | grow crops
