surrounding countryside , atrofdagi qishloq
familiar landscape , tanish manzara
gentle landscape , yumshoq manzara (a landscape with nothing extreme or threatening about it=hech qanday ekstremal yoki tahdid solmaydigan manzara)
open fields , ochiq maydonlar (fields uninterrupted by woods or houses = o'rmonlar yoki uylar bilan uzluksiz dalalar)
bleak landscape , xira manzara
rocky mountains , toshli tog'lar
followed a path , bir yoʻl tutdi
turned a corner , burchakka burildi
caught a glimpse of , bir ko‘z oldiga keltirdi (saw for a moment = bir zum ko'rdi)
take a picture , suratga olish
caught sight of , ko'zga tushdi
rounded a bend , burilish yasadi (turned a corner = burchakka burildi)
came into view , ko‘rinishga keldi
fell into ruin , vayronaga aylandi (became a ruin = xarobaga aylandi)
lies in ruins , xarobalarda yotadi
well worth seeing , ko'rishga arziydi
dramatic setting , dramatik sozlash
steep slope , tik qiyalik
fast-flowing river , tez oqadigan daryo
mountains towering , baland tog'lar (mountains rising dramatically = tog'lar keskin ko'tariladi)
unspoilt countryside , buzilmagan qishloq (countryside that has not been changed by industry or modern buildings = sanoat yoki zamonaviy binolar tomonidan o'zgartirilmagan qishloq)
dense forest , zich o'rmon (thick forest = qalin o'rmon)
block the view , ko'rinishni blokirovka qilish
snow-covered mountains , qor bilan qoplangan tog'lar
stream winds , oqim shamollari (makes lots of bends, doesn't flow in a straight line ,ko'p egilishlar qiladi, to'g'ri chiziqda oqmaydi)
destroy the countryside , qishloqni vayron qilish
protect the environment , atrof-muhitni muhofaza qilish

