perhaps, "ehtimol,ehtimol"
kitties,mushukchalar
fearless,qo'rqmas
roommate,xonadosh
yowling,"uvullamoq,hayqirmoq"
hissing,shivirlash
salty,sho'r
mittens,qo'lqoplar
potty,qozon
dignity,qadr-qimmat
desperately,umidsiz
take it easy,umidsiz bo'lmang
scent,"hid,iz"
rather,aksincha
pickles,tuzlangan bodring
disclosure,shkor qilish
porch,ayvon
despite,…ga qaramay
offer,taklif
puss,mushuk bolasi
darling,azizim
legendary,afsonaviy
soft,yumshoq
guts,jasorat
sniff,hidlash
fugitive,qochoq
orphan,yetim
treatment,"muomala qilish, davolash"
focus,diqqat
amateurs,havaskorlar
scruffly,shafqatsiz
sword,qilich
geriatric,keksalik
stick,tayoq
batch,partiya
trophy,"o'lja,kubik"
enchanteed,sehrlangan
carpet,yilam
nursery,bolalar bog'chasi
rhyme,qofiya
puppet,qo'g'irchoq
impressive,zo'r taassurot qoldirmaydigan
kitty,mushukcha
pirate,qaroqchi
distinguished,ajralib turadi
ashamed,uyaldi
spiritual,ruhoniy
porridge,bo'tqa
regret,"afsus,achinish"
obstacle,to'siq
cowardly,qo'rqoqlik
poofy,nopok
irredeemable,tuzatib bo'lmaydigan
chatty,sergap
criming,jinoyatchilik
former,oldingi
muppet,qo'g'irchoq
intoxicating,mast qiluvchi
witness,guvoh
metaphorically,metaforik tarzda
