gaining , qozonish
winning , g'alaba qozonish
achieving , erishish
gained control , nazoratni qo‘lga kiritdi
gained recognition , e'tirofga sazovor bo'ldi
won a medal , medal qo'lga kiritdi
earn , ishlab topmoq
made a profit , foyda keltirdi | make a money
achieve success , muvaffaqiyatga erishish
defeated his opponent , raqibini mag'lub etdi
beat , urish | defeat
take warm clothes , issiq kiyim oling
carry , olin yurish | I always carry my mobile phone
wearing hat , shilyapa kiyish
suitcase , chamadon | He kindly offered to carry my suitcase for me
