travel arrangements , sayohatni tashkil qilish
business travel , ish safari
business trip , ish safari
day trip ,kunlik sayohat
Safe journey , Xavfsiz sayohat
return journey , qaytish sayohati
outward journey ,tashqi sayohat
ravel brochures , ravel broshyuralari
camping trips , lager sayohatlari
overnight journey , tungi sayohat
in-flight entertainment , parvoz paytida o'yin-kulgi
in-flight magazine , parvoz jurnali
fasten your seatbelts , xavfsizlik kamarlarini mahkamlang
boarded the plane , samolyotga o'tirdi
connecting flight , bog'lovchi parvoz
Domestic flights , Ichki reyslar
window seat , deraza o'rindig'i
aisle seat , Yo'lak joy
charter flight , flight on a plane rented for special use = maxsus foydalanish uchun ijaraga olingan samolyotda parvoz qilish
scheduled flight , regular flight organised by the company which owns the plane = samolyotga egalik qiluvchi kompaniya tomonidan tashkil etilgan muntazam parvoz
smooth flight , The opposite is a bumpy flight = Buning aksi - to'siqsiz parvoz
bumpy flight , og'ir parvoz
family-run hotel , oilaviy mehmonxona
run-down hotel , buzilgan mehmonxona
luxury hotel , hashamatli mehmonxona
smart hotels , aqlli mehmonxonalar
budget accommodation , byudjetli turar joy.
make a reservation , bron qiling
fully booked , to'liq band qilingan
