face shines , yuzi porlaydi
eyes shine , ko'zlar porlaydi
face lights up , yuzi yonadi
eyes light up , ko'zlari yonadi
atmosphere lightens , atmosfera yengillashadi
mood lightens , kayfiyat ochiladi
Dark thoughts , Qorong'u fikrlar
gloomy , g'amgin
face darkens , yuz qorayadi
eves darken  , oqshom qorayadi
expression darkens , ifoda qorayadi
ideas flowed , g‘oyalar oqardi.
in floods of tears , ko'z yoshlari toshqinida
Tears were streaming down her face , Uning ko‘z yoshlari oqib turardi yuz
People poured , Odamlar quyishdi
People trickled , Odamlar shitirlashdi
stream of traffic , trafik oqimi
heated debate , qizg'in bahs
heated conversation  , qizg'in suhbat
heated discussion , qizg'in muhokama
fiery temper , olovli kayfiyat
tempers flared , jahli chiqdi
violence flares up , zo'ravonlik kuchayadi
troubles flare up , muammolar kuchayib boradi
cheeks burn with embarrassment , yonoqlari xijolatdan yonadi.
blaze of glory , shon-shuhrat alangasi
blaze of publicity  , oshkoralik olovi
